Sample,LBC 1_ppm_CaCo3_pH,LBCeq_ppm_CaCo3_pH,pH 2,Ca_mgkg,K_mgkg,Mg_mgkg,Mn_mgkg,P_mgkg,Zn_mgkg,NH4-N_mgkg,NO3-N_mgkg,Cperc,Nperc,TOCperc,Sandperc,Siltperc,Clayperc,Soil Type
20210707-W-D2_0,4298,12464.2,5.87,13944.2059,273.1912,768.53675,255.64705,34.8603,33.22425,7.3495,0.605,34.286,1.471,40.211,,,,
20210706-E-H1_02,2448,7099.2,4.7,2097.55305,125.1932,219.79925,466.1818,25.51895,12.42805,29.111,0.465,28.162,1.764,29.474,,,,
20210707-W-D3_01,3776,10950.4,6.31,13533.7381,510.14285,670.2619,488.3095,81.6845,74.39285,26.299,1.8305,37.815,1.306,44.084,,,,
20210713-W-H2_02,5353,15523.7,6.15,7443.45835,29.4896,314.96875,17.5026,14.487,4.0729,9.3685,0.875,36.181,2.192,44.919,,,,
20210713-W-M2_02,3097,8981.3,6.05,14673.85185,223.0972,815.5185,350.4676,51.69445,30.50925,20.4375,0.78,35.175,1.823,40.863,,,,
20210731-W-D3_01,1560,4524,6.16,13100.78905,624.5703,729.7656,336.5,73.59375,68.5156,32.457,1.6815,38.003,1.519,47.021,,,,
20210807-E-M3_M,873,2531.7,4.79,625.58485,29.14205,95.21585,29.21125,9.60515,3.7795,5.4185,0.15,4.039,0.374,3.808,33.44,24.52,42.04,Clay
20210807-E-H1_M,958,2778.2,4.64,544.6598,21.47935,67.59565,19.57715,10.8348,3.1,18.1005,0.17,11.597,0.792,10.383,32.26,30.34,37.4,Clay Loam
20210713-W-M2_M,515,1493.5,5.3,1674.7271,15.00955,82.4453,8.34095,236.01335,2.3785,4.5685,0.13,2.463,0.279,1.995,,,,
20210807-E-M1_M1,341,988.9,4.7,342.72955,28.64315,35.84105,42.42085,52.79025,2.0699,5.9385,0.105,1.3,0.193,1.088,,,,
20210706-E-M2_M,322,933.8,4.92,447.80395,24.60215,65.48795,51.1485,20.4632,1.98475,4.571,0.115,1.732,0.403,1.396,39.52,28.36,32.12,Clay Loam
20210807-E-M1_M2,490,1421,4.71,347.1847,19.5566,53.3377,44.33645,16.45895,1.71705,3.5445,0.11,1.534,0.21,1.33,36.58,28.36,35.06,Clay Loam
20210730-E-D3_M,254,736.6,5.87,1194.4182,22.7392,100.771,7.80055,32.8199,1.37445,2.2565,0.105,1.66,0.279,1.584,41.28,28.68,30.04,Clay Loam
20210706-E-M2_M,1011,2931.9,4.73,1385.9775,74.69255,189.1723,12.3232,14.4268,4.29505,7.801,0.25,7.166,0.563,8.833,39.96,33.51,26.53,Loam
20210730-E-M1_M,230,656.057,4.8,343.3747,17.17505,51.41005,29.70625,16.1523,2.06175,4.0515,0.105,1.208,0.113,1.069,41.28,30.68,28.04,Clay Loam
20210714-E-M2_M,563,1632.7,4.63,315.3388,25.46245,58.63935,42.26915,7.51915,0.96105,4.166,0.12,1.98,0.184,1.828,47.16,20.72,32.12,Sandy Clay Loam
20210706-E-D3_M,563,1632.7,4.85,767.38805,39.1848,109.9586,49.87425,15.12345,3.07745,3.7105,0.125,2.882,0.283,2.305,42.03,25.22,32.75,Clay Loam
20210714-E-M1_M,661,1916.9,4.92,1045.99555,26.6491,154.477,95.67805,13.49705,4.50225,4.925,0.17,3.477,0.283,3.167,33.68,34.3,32.02,Clay Loam
