Date,Time,Area,Site,Plot,Depth (cm),Sample ID,SampleName,SampleID,F-ppm,Cl-ppm,NO3N-ppm,Br-ppm,SO4-ppm,PO4-P-ppm,ICNotes
12-Jul-22,12:28,West,Mesic,3,0,PhIr2022_50B,50,PhIr2022-50,0.118,19.626,0.466,,12.817,,
12-Jul-22,12:50,West,Mesic,3,10,PhIr2022_51B,51,PhIr2022-51,0.011,0.774,,0.02,0.484,0,
12-Jul-22,13:10,West,Mesic,3,20,PhIr2022_52B,52,PhIr2022-52,0.009,0.082,,0.02,0.029,,
12-Jul-22,13:50,West,Hydric,1,0,PhIr2022_53B,53,PhIr2022-53,0.016,0.195,,,4.3,0,
12-Jul-22,14:14,West,Hydric,1,10,PhIr2022_54B,54,PhIr2022-54,0.053,0.027,,0.069,0.236,,
12-Jul-22,14:31,West,Hydric,1,20,PhIr2022_55B,55,PhIr2022-55,0.082,11.773,,0.138,6.788,0,
12-Jul-22,13:57,West,Hydric,2,0,PhIr2022_56B,56,PhIr2022-56,0.053,9.701,,,7.012,,
12-Jul-22,14:20,West,Hydric,2,10,PhIr2022_57B,57,PhIr2022-57,0.027,0.055,,0.079,2.887,,
12-Jul-22,14:36,West,Hydric,2,20,PhIr2022_58B,58,PhIr2022-58,0.066,11.41,,0.158,9.41,,
12-Jul-22,14:05,West,Hydric,3,0,PhIr2022_59B,59,PhIr2022-59,0.05,4.904,,,3.276,,
12-Jul-22,14:25,West,Hydric,3,10,PhIr2022_60B,60,PhIr2022-60,0.078,9.127,1.152,0.177,4.899,,
12-Jul-22,14:41,West,Hydric,3,20,PhIr2022_61B,61,PhIr2022-61,0.058,0.165,,0.185,0.39,,
12-Jul-22,14:53,West,Hydric,3,40,PhIr2022_62B,62,PhIr2022-62,0.017,0.683,,,0.103,,
18-Jul-22,13:05,East,Dry,1,10,PhIr2022_63B,63,PhIr2022-63,0.114,9.718,0,0.079,5.458,,
18-Jul-22,11:18,East,Dry,3,20,PhIr2022_64B,64,PhIr2022-64,0.07,10.796,,,6.516,,
18-Jul-22,12:00,East,Mesic,1,10,PhIr2022_65B,65,PhIr2022-65,0.083,7.55,0.004,,4.565,,
18-Jul-22,12:08,East,Mesic,2,10,PhIr2022_66B,66,PhIr2022-66,0.043,5.612,0.018,,3.085,,
18-Jul-22,14:44,East,Hydric,1,0,PhIr2022_67B,67,PhIr2022-67,0.01,0.465,0.03,,0.082,,
18-Jul-22,14:38,East,Hydric,1,10,PhIr2022_68B,68,PhIr2022-68,0.034,0.5,,0.01,0.169,,
18-Jul-22,14:26,East,Hydric,1,20,PhIr2022_69B,69,PhIr2022-69,0.07,9.476,0.004,0.062,5.741,,
18-Jul-22,14:33,East,Hydric,2,0,PhIr2022_70B,70,PhIr2022-70,0.157,12.347,0.005,,7.515,,
18-Jul-22,14:12,East,Hydric,2,10,PhIr2022_71B,71,PhIr2022-71,0.099,16.304,0.002,0.072,9.99,0,
18-Jul-22,15:02,East,Hydric,2,20,PhIr2022_72B,72,PhIr2022-72,0.019,2.939,0.002,0.01,1.801,0,
18-Jul-22,14:13,East,Hydric,3,0,PhIr2022_73B,73,PhIr2022-73,0.292,15.644,0.021,,9.2,0.001,
18-Jul-22,14:57,East,Hydric,3,10,PhIr2022_74B,74,PhIr2022-74,0.357,0.771,,0.051,0.186,0,
19-Jul-22,10:29,West,Dry,1,20,PhIr2022_75B,75,PhIr2022-75,0.072,0.842,,0.134,9,,
19-Jul-22,10:53,West,Dry,2,20,PhIr2022_76B,76,PhIr2022-76,0.089,12.559,0,0.066,8.552,0.001,
19-Jul-22,11:53,West,Mesic,1,20,PhIr2022_77B,77,PhIr2022-77,0.097,14.047,0.002,0.088,13.24,0,
19-Jul-22,12:00,West,Mesic,2,0,PhIr2022_78B,78,PhIr2022-78,0.041,4.954,0.002,,3.386,,
19-Jul-22,11:44,West,Mesic,2,10,PhIr2022_79B,79,PhIr2022-79,0.101,13.667,,0.041,8.463,0,
19-Jul-22,11:56,West,Mesic,2,20,PhIr2022_80B,80,PhIr2022-80,0.036,4.63,,0.143,2.888,0,
19-Jul-22,12:09,West,Mesic,3,0,PhIr2022_81B,81,PhIr2022-81,0.01,0.465,,,0.691,,
19-Jul-22,12:19,West,Mesic,3,10,PhIr2022_82B,82,PhIr2022-82,0.012,0.215,,0.11,0.205,0,
19-Jul-22,12:27,West,Mesic,3,20,PhIr2022_83B,83,PhIr2022-83,0.024,0.224,,0.093,0.012,,
19-Jul-22,13:20,West,Hydric,1,0,PhIr2022_84B,84,PhIr2022-84,0.024,1.31,,,5.836,,
