ORNL_id,sample_time,area,site,plot,depth_cm,sample_date,Al,Ca,Fe,FeII,K,Mg,Mn,Na,P
PhIr2022-50,12:28,non-acidic tundra,Mesic,3,0,7/12/22,0.05,8.81,0.04,,0.05,1.13,0.003,0.18,0.005
PhIr2022-51,12:50,non-acidic tundra,Mesic,3,10,7/12/22,0.04,7.38,0.03,,0.03,0.94,0.01,0.14,0.005
PhIr2022-52,13:10,non-acidic tundra,Mesic,3,20,7/12/22,0.08,7.29,0.2,,0.1,0.96,0.92,0.16,0.01
PhIr2022-53,13:50,non-acidic tundra,Hydric,1,0,7/12/22,0.02,30.2,0.43,,0.13,4.14,0.07,0.56,0.005
PhIr2022-54,14:14,non-acidic tundra,Hydric,1,10,7/12/22,0.01,35.8,0.54,,0.12,4.73,0.07,0.35,0.005
PhIr2022-55,14:31,non-acidic tundra,Hydric,1,20,7/12/22,1.78,33.2,1.21,,2.47,4.34,0.23,1.4,0.03
PhIr2022-56,13:57,non-acidic tundra,Hydric,2,0,7/12/22,0.03,11.3,0.13,,0.06,1.55,0.04,0.2,0.005
PhIr2022-57,14:20,non-acidic tundra,Hydric,2,10,7/12/22,0.01,20.5,0.09,,0.05,2.3,0.19,0.25,0.005
PhIr2022-58,14:36,non-acidic tundra,Hydric,2,20,7/12/22,1.01,18.8,0.7,,1.26,2.11,0.15,0.81,0.01
PhIr2022-59,14:05,non-acidic tundra,Hydric,3,0,7/12/22,1.12,32.7,3.35,,1.78,4.24,0.22,1.18,0.02
PhIr2022-60,14:25,non-acidic tundra,Hydric,3,10,7/12/22,0.01,42,1.6,2.25,0.06,5.54,0.2,0.37,0.005
PhIr2022-61,14:41,non-acidic tundra,Hydric,3,20,7/12/22,0.01,37.5,1.49,,0.04,5.45,0.14,0.63,0.005
PhIr2022-62,14:53,non-acidic tundra,Hydric,3,40,7/12/22,0.74,40,5.35,5.1,1.33,3.95,1.47,1.11,0.02
PhIr2022-63,13:05,acidic tundra,Dry,1,10,7/18/22,0.28,8.03,0.22,,0.43,1.13,0.04,0.37,0.01
PhIr2022-64,11:18,acidic tundra,Dry,3,20,7/18/22,0.51,3.96,0.51,,0.14,0.75,0.02,0.21,0.01
PhIr2022-65,12:00,acidic tundra,Mesic,1,10,7/18/22,0.52,3.17,0.19,,0.72,0.74,0.11,0.36,0.01
PhIr2022-66,12:08,acidic tundra,Mesic,2,10,7/18/22,0.3,2.43,0.28,,0.17,0.61,0.08,0.21,0.005
PhIr2022-67,14:44,acidic tundra,Hydric,1,0,7/18/22,0.29,2.4,0.24,,0.14,0.6,0.08,0.28,0.005
PhIr2022-68,14:38,acidic tundra,Hydric,1,10,7/18/22,0.39,2.03,3.36,3.35,0.06,0.56,0.3,0.21,0.01
PhIr2022-69,14:26,acidic tundra,Hydric,1,20,7/18/22,0.27,1.39,1.41,,0.05,0.38,0.11,0.2,0.01
PhIr2022-70,14:33,acidic tundra,Hydric,2,0,7/18/22,0.27,3.65,0.22,,0.18,0.69,0.09,0.36,0.01
PhIr2022-71,14:12,acidic tundra,Hydric,2,10,7/18/22,1.07,6.03,2.07,,1.29,0.95,0.49,0.77,0.02
PhIr2022-72,15:02,acidic tundra,Hydric,2,20,7/18/22,0.28,3.61,0.5,0.125,0.13,0.68,1.18,0.42,0.01
PhIr2022-73,14:13,acidic tundra,Hydric,3,0,7/18/22,0.38,6.67,0.33,,0.58,1.49,1.48,0.33,0.03
PhIr2022-74,14:57,acidic tundra,Hydric,3,10,7/18/22,0.6,9.59,15,10.4,0.31,2.1,14.5,0.26,0.005
PhIr2022-75,10:29,non-acidic tundra,Dry,1,20,7/19/22,0.17,12.3,0.09,,0.28,1.69,0.11,0.51,0.005
PhIr2022-76,10:53,non-acidic tundra,Dry,2,20,7/19/22,0.12,8.64,0.06,,0.2,1.04,0.01,0.22,0.01
PhIr2022-77,11:53,non-acidic tundra,Mesic,1,20,7/19/22,0.07,15.2,0.09,,0.32,2.04,0.21,0.4,0.01
PhIr2022-78,12:00,non-acidic tundra,Mesic,2,0,7/19/22,0.04,6.35,0.05,,0.04,0.83,0.003,0.14,0.005
PhIr2022-79,11:44,non-acidic tundra,Mesic,2,10,7/19/22,0.1,6.62,0.05,,0.16,0.89,0.003,0.17,0.01
PhIr2022-80,11:56,non-acidic tundra,Mesic,2,20,7/19/22,0.1,7.04,0.49,,0.07,1.02,0.28,0.22,0.01
PhIr2022-81,12:09,non-acidic tundra,Mesic,3,0,7/19/22,0.04,8.28,0.03,,0.06,1.1,0.01,0.17,0.005
PhIr2022-82,12:19,non-acidic tundra,Mesic,3,10,7/19/22,0.98,8.83,0.43,,1.39,1.14,0.24,0.74,0.01
PhIr2022-83,12:27,non-acidic tundra,Mesic,3,20,7/19/22,0.12,7.34,0.38,,0.12,0.99,0.96,0.18,0.01
