"","PhIr_SampleID","Area","Site","Depth_cm","Day","Month","Year","NPOC_sitemean_mgL","NPOC_se","TN_sitemean_mgL","TN_se","Month2","Date2"
"79","PhIr2022-170","acidic tundra","Hydric",20,"8","Aug","2022",19.75,NA,2.123,NA,"8",2022-08-08
"80","PhIr2022-171","acidic tundra","Hydric",0,"8","Aug","2022",24.2,NA,3.851,NA,"8",2022-08-08
"81","PhIr2022-172","acidic tundra","Hydric",10,"8","Aug","2022",103.7,NA,5.248,NA,"8",2022-08-08
"82","PhIr2022-173","acidic tundra","Hydric",20,"8","Aug","2022",31.684,NA,4.468,NA,"8",2022-08-08
"83","PhIr2022-175","acidic tundra","Dry",20,"15","Sept","2022",26.988,NA,3.6,NA,"9",2022-09-15
"84","PhIr2022-176","acidic tundra","Mesic",10,"15","Sep","2022",15.496,NA,3.557,NA,"9",2022-09-15
"85","PhIr2022-177","acidic tundra","Mesic",20,"15","Sep","2022",20.168,NA,3.874,NA,"9",2022-09-15
"86","PhIr2022-178","acidic tundra","Mesic",40,"15","Sep","2022",17.832,NA,3.847,NA,"9",2022-09-15
"87","PhIr2022-179","acidic tundra","Mesic",10,"15","Sep","2022",19.516,NA,3.67,NA,"9",2022-09-15
"88","PhIr2022-18","non-acidic tundra","Hydric",20,"29","Jun","2022",5.34,NA,0.918,NA,"6",2022-06-29
"89","PhIr2022-180","acidic tundra","Mesic",10,"17","Sep","2022",24.216,NA,3.87,NA,"9",2022-09-17
"90","PhIr2022-181","acidic tundra","Hydric",10,"17","Sep","2022",39.436,NA,4.16,NA,"9",2022-09-17
"91","PhIr2022-182","acidic tundra","Hydric",20,"17","Sep","2022",21.56,NA,4.036,NA,"9",2022-09-17
"92","PhIr2022-183","acidic tundra","Hydric",0,"17","Sep","2022",24.824,NA,3.776,NA,"9",2022-09-17
"93","PhIr2022-184","acidic tundra","Hydric",10,"17","Sep","2022",40.12,NA,6.14,NA,"9",2022-09-17
"94","PhIr2022-185","acidic tundra","Hydric",0,"17","Sep","2022",24.408,NA,3.917,NA,"9",2022-09-17
"95","PhIr2022-186","acidic tundra","Hydric",10,"17","Sep","2022",100.72,NA,7.9,NA,"9",2022-09-17
"96","PhIr2022-187","non-acidic tundra","Mesic",10,"23","Sep","2022",17.128,NA,3.514,NA,"9",2022-09-23
"97","PhIr2022-188","non-acidic tundra","Hydric",10,"23","Sep","2022",9.04,NA,3.334,NA,"9",2022-09-23
"98","PhIr2022-189","non-acidic tundra","Hydric",0,"23","Sep","2022",12.08,NA,3.474,NA,"9",2022-09-23
"99","PhIr2022-19","non-acidic tundra","Hydric",0,"29","Jun","2022",10.49,NA,1.129,NA,"6",2022-06-29
"100","PhIr2022-190","non-acidic tundra","Hydric",40,"23","Sep","2022",11.84,NA,3.396,NA,"9",2022-09-23
"101","PhIr2022-191","non-acidic tundra","Hydric",20,"23","Sep","2022",11.772,NA,3.358,NA,"9",2022-09-23
"102","PhIr2022-192","non-acidic tundra","Hydric",40,"23","Sep","2022",12.776,NA,3.977,NA,"9",2022-09-23
"103","PhIr2022-2","acidic tundra","Mesic",10,"27","Jun","2022",27.64,NA,3.932,NA,"6",2022-06-27
"104","PhIr2022-20","non-acidic tundra","Hydric",10,"29","Jun","2022",11.44,NA,1.154,NA,"6",2022-06-29
"105","PhIr2022-21","non-acidic tundra","Hydric",20,"29","Jun","2022",8.516,NA,1.23,NA,"6",2022-06-29
"106","PhIr2022-22","acidic tundra","Hydric",20,"6","Jul","2022",13.57,NA,1.472,NA,"7",2022-07-06
"107","PhIr2022-23","acidic tundra","Hydric",10,"6","Jul","2022",14.13,NA,1.308,NA,"7",2022-07-06
"108","PhIr2022-24","acidic tundra","Hydric",10,"6","Jul","2022",37.288,NA,4.736,NA,"7",2022-07-06
"109","PhIr2022-26","non-acidic tundra","Mesic",20,"7","Jul","2022",0.006,NA,0.832,NA,"7",2022-07-07
"110","PhIr2022-27","non-acidic tundra","Mesic",0,"7","Jul","2022",9.727,NA,1.066,NA,"7",2022-07-07
"111","PhIr2022-28","non-acidic tundra","Mesic",20,"7","Jul","2022",13.75,NA,1.589,NA,"7",2022-07-07
"112","PhIr2022-29","non-acidic tundra","Mesic",0,"7","Jul","2022",10.84,NA,1.103,NA,"7",2022-07-07
"113","PhIr2022-3","acidic tundra","Mesic",10,"27","Jun","2022",39.968,NA,4.528,NA,"6",2022-06-27
"114","PhIr2022-30","non-acidic tundra","Mesic",10,"7","Jul","2022",10.15,NA,1.038,NA,"7",2022-07-07
"115","PhIr2022-31","non-acidic tundra","Mesic",20,"7","Jul","2022",7.746,NA,1.028,NA,"7",2022-07-07
"116","PhIr2022-32","non-acidic tundra","Hydric",0,"7","Jul","2022",10.31,NA,1.237,NA,"7",2022-07-07
"117","PhIr2022-33","non-acidic tundra","Hydric",10,"7","Jul","2022",16.842,NA,2.509,NA,"7",2022-07-07
"118","PhIr2022-34","non-acidic tundra","Hydric",20,"7","Jul","2022",8.471,NA,1.067,NA,"7",2022-07-07
"119","PhIr2022-35","non-acidic tundra","Hydric",0,"7","Jul","2022",10.08,NA,1.07,NA,"7",2022-07-07
"120","PhIr2022-36","non-acidic tundra","Hydric",10,"7","Jul","2022",7.95,NA,1.026,NA,"7",2022-07-07
"121","PhIr2022-37","non-acidic tundra","Hydric",20,"7","Jul","2022",9.345,NA,0.983,NA,"7",2022-07-07
"122","PhIr2022-38","non-acidic tundra","Hydric",0,"7","Jul","2022",10.17,NA,1.232,NA,"7",2022-07-07
"123","PhIr2022-39","non-acidic tundra","Hydric",10,"7","Jul","2022",13.13,NA,1.162,NA,"7",2022-07-07
"124","PhIr2022-4","acidic tundra","Hydric",10,"27","Jun","2022",29.7,NA,2.2,NA,"6",2022-06-27
"125","PhIr2022-40","non-acidic tundra","Hydric",20,"7","Jul","2022",7.666,NA,1.104,NA,"7",2022-07-07
"126","PhIr2022-41","acidic tundra","Hydric",10,"11","Jul","2022",24.46,NA,1.426,NA,"7",2022-07-11
"127","PhIr2022-42","acidic tundra","Hydric",20,"11","Jul","2022",13.24,NA,1.254,NA,"7",2022-07-11
"128","PhIr2022-43","acidic tundra","Hydric",10,"11","Jul","2022",17.12,NA,1.347,NA,"7",2022-07-11
"129","PhIr2022-44","acidic tundra","Hydric",10,"11","Jul","2022",48.14,NA,2.935,NA,"7",2022-07-11
"130","PhIr2022-45","non-acidic tundra","Dry",20,"12","Jul","2022",10.12,NA,1.19,NA,"7",2022-07-12
"131","PhIr2022-46","non-acidic tundra","Mesic",20,"12","Jul","2022",10.17,NA,1.11,NA,"7",2022-07-12
"132","PhIr2022-47","non-acidic tundra","Mesic",0,"12","Jul","2022",12.8,NA,1.114,NA,"7",2022-07-12
"133","PhIr2022-48","non-acidic tundra","Mesic",10,"12","Jul","2022",12.62,NA,1.097,NA,"7",2022-07-12
"134","PhIr2022-49","non-acidic tundra","Mesic",20,"12","Jul","2022",14.78,NA,1.635,NA,"7",2022-07-12
"135","PhIr2022-5","acidic tundra","Hydric",10,"27","Jun","2022",16.044,NA,3.85,NA,"6",2022-06-27
"136","PhIr2022-50","non-acidic tundra","Mesic",0,"12","Jul","2022",10.61,NA,1.102,NA,"7",2022-07-12
"137","PhIr2022-51","non-acidic tundra","Mesic",10,"12","Jul","2022",11.05,NA,1.07,NA,"7",2022-07-12
"138","PhIr2022-52","non-acidic tundra","Mesic",20,"12","Jul","2022",10.24,NA,1.072,NA,"7",2022-07-12
"139","PhIr2022-53","non-acidic tundra","Hydric",0,"12","Jul","2022",8.913,NA,1.07,NA,"7",2022-07-12
"140","PhIr2022-54","non-acidic tundra","Hydric",10,"12","Jul","2022",10.01,NA,1.261,NA,"7",2022-07-12
"141","PhIr2022-55","non-acidic tundra","Hydric",20,"12","Jul","2022",10.94,NA,1.161,NA,"7",2022-07-12
"142","PhIr2022-56","non-acidic tundra","Hydric",0,"12","Jul","2022",9.257,NA,1.198,NA,"7",2022-07-12
"143","PhIr2022-57","non-acidic tundra","Hydric",10,"12","Jul","2022",7.367,NA,1.019,NA,"7",2022-07-12
"144","PhIr2022-58","non-acidic tundra","Hydric",20,"12","Jul","2022",10.02,NA,1.04,NA,"7",2022-07-12
"145","PhIr2022-59","non-acidic tundra","Hydric",0,"12","Jul","2022",9.642,NA,1.212,NA,"7",2022-07-12
