"date","area","siterep","soilhorizon","lbc_1_ppm_ca_co3_p_h","lb_ceq_ppm_ca_co3_p_h","p_h_2","ca_mgkg","k_mgkg","mg_mgkg","mn_mgkg","p_mgkg","zn_mgkg","nh4_n_mgkg","no3_n_mgkg","cperc","nperc","to_cperc","sandperc","siltperc","clayperc","soil_type","plotnum","site"
"20210713","non-acidic tundra","H2","O1",2797,8111.3,6.44,15324.6141,196.78885,674.02425,454.0437,29.26215,34.0607,12.098,43.014,43.014,2.078,41.203,NA,NA,NA,"","2","hydric"
"20210713","non-acidic tundra","D1","O1",3686,10689.4,6.22,12815.7778,522.47685,779.9537,286.8148,69.72685,55.7222,22.151,53.979,53.979,0.964,47.195,NA,NA,NA,"","1","dry"
"20210713","non-acidic tundra","M1","O1",3108,9013.2,6.15,14251.5469,678.09375,873.625,346.53125,78.89065,52.2969,24.415,58.724,58.724,1.018,51.213,NA,NA,NA,"","1","mesic"
"20210713","non-acidic tundra","D2","O1",6326,18345.4,4.64,8427.4924,1078.75,946.9091,242.6288,87.26515,28.5303,31.576,59.856,59.856,0.85,52.801,NA,NA,NA,"","2","dry"
"20210707","non-acidic tundra","H2","O1",3383,9810.7,6.51,14592.03075,259.41155,760.0731,586.28845,31.34615,38.53845,26.643,53.751,53.751,1.74,43.836,NA,NA,NA,"","2","hydric"
"20210707","non-acidic tundra","D3","O2",3025,8772.5,6.08,13744.06775,89.93225,543.7874,288.6425,44.74535,39.5514,8.812,33.869,33.869,1.352,28.115,NA,NA,NA,"","3","dry"
"20210807","non-acidic tundra","D3","O2",2446,7093.4,6.07,11673.9737,94.47895,493.6342,327.26315,54.47895,19.2842,4.806,30.022,30.022,1.366,24.763,NA,NA,NA,"","3","dry"
"20210714","acidic tundra","H1","O2",3193,9259.7,5.49,5642.32455,88.5,376.46055,857.7785,15.04825,26.66665,18.413,26.923,26.923,1.244,20.775,NA,NA,NA,"","1","hydric"
"20210714","acidic tundra","D3","O2",3674,10654.6,5.06,5438.8931,126.6105,345.404,163.36775,21.7174,5.8768,12.1375,30.958,30.958,1.381,26.639,NA,NA,NA,"","3","dry"
"20210713","non-acidic tundra","D1","O2",3077,8923.3,6.29,13996.6703,175.92755,638.8152,1100.80435,61.2971,43.7464,9.584,32.401,32.401,1.259,27.888,NA,NA,NA,"","1","dry"
"20210714","non-acidic tundra","M2","O",2249,6522.1,4.63,1732.6437,324.4446,291.7021,399.66315,40,12.6617,11.564,19.758,19.758,0.566,15.755,NA,NA,NA,"","2","mesic"
"20210707","non-acidic tundra","H3","O2",2973,8621.7,6.35,16144.20835,144.86905,769.14285,2298.08035,20.372,145.6131,17.1515,45.015,45.015,2.019,39.993,NA,NA,NA,"","3","hydric"
"20210707","non-acidic tundra","D1","O",5002,14505.8,6.26,12177.2108,460.5588,755.7794,767.92645,66.89705,67.5147,20.6275,51.487,51.487,1.151,43.886,NA,NA,NA,"","1","dry"
"20210714","acidic tundra","H1","O1",4659,13511.1,4.98,6287.69445,985.9861,866.24305,1578.6528,84.2986,32.3125,47.7145,56.617,56.617,1.069,50.518,NA,NA,NA,"","1","hydric"
"20210714","acidic tundra","H1","O2",3252,9430.8,4.78,3657.67725,225.1591,434.34545,600.24545,50.37275,21.45,23.6365,49.358,49.358,1.905,42.273,NA,NA,NA,"","1","hydric"
"20210706","acidic tundra","H1","O1",4778,13856.2,5.2,6559.1513,445.48025,627.375,1684.29605,50.23025,47.0066,41.961,52.753,52.753,1.479,47.586,NA,NA,NA,"","1","hydric"
"20210807","acidic tundra","D2","M",2008,5823.2,4.79,1871.89155,85.46585,216.06325,119.23695,12.4498,10.46185,9.5025,15.188,15.188,0.718,11.128,NA,NA,NA,"","2","dry"
"20210807","non-acidic tundra","H1","O1",3138,9100.2,6.52,13979.6092,175.7597,752.79125,862.66505,33.02185,42.2233,18.9785,43.254,43.254,2.298,40.97,NA,NA,NA,"","1","hydric"
"20210713","non-acidic tundra","H3","O1",4327,12548.3,6.37,16810.0607,284.25355,886.87855,1550.76785,25.79285,65.81785,27.855,50.632,50.632,1.511,43.631,NA,NA,NA,"","3","hydric"
"20210807","non-acidic tundra","D3","O1",2812,8154.8,5.53,8744.3264,720.9236,628.6389,189.75,82.55555,50.61805,37.3615,52.892,52.892,1.095,48.678,NA,NA,NA,"","3","dry"
"20210706","acidic tundra","H3","O2",2394,6942.6,4.95,2418.79325,116.91585,207.76685,402.97595,19.6947,9.4519,31.889,34.983,34.983,1.509,26.089,NA,NA,NA,"","3","hydric"
"20210714","acidic tundra","D1","O2",2601,7542.9,4.49,2410.8148,198.8125,286.3565,142.7824,30.24075,15.8403,17.3335,28.631,28.631,1.13,24.033,NA,NA,NA,"","1","dry"
"20210730","acidic tundra","D3","O",2282,6617.8,4.83,3105.3022,376.10715,352.17035,340.1621,42.50825,19.64285,17.232,22.048,22.048,0.513,16.508,NA,NA,NA,"","3","dry"
"20210714","acidic tundra","M1","O1",5837,16927.3,4.3,4803.3389,1282.15555,623.0278,509.18335,83.8722,99.80555,28.035,53.716,53.716,1.136,52.876,NA,NA,NA,"","1","mesic"
