"","day","month","area","plot","site","soil_layer","dry_wet","year","plotnum","BG","LAP","NAG","PHOS"
"59",6,"Aug","West","M3","Mesic","Organic",0.0506,"2021","3",5233.45,3152.38,1870.01,6375.82
"60",6,"Aug","West","H1","Hydric","Organic",0.045,"2021","1",4256.85,504.79,1509.13,4346.68
"61",6,"Aug","West","H2","Hydric","Organic",0.0354,"2021","2",NA,NA,3478.62,NA
"62",6,"Aug","West","H3","Hydric","Organic",0.034,"2021","3",3017.47,488.37,2089.37,3695.91
"63",6,"Aug","West","D1","Dry","Mineral",0.123,"2021","1",295.5,1e-06,380.45,1e-06
"64",6,"Aug","West","D2","Dry","Mineral",0.1274,"2021","2",1361.88,533.61,300.67,1530.87
"65",6,"Aug","West","D3","Dry","Mineral",0.148,"2021","3",545.47,236.51,412.44,349.4
"66",6,"Aug","West","M1","Mesic","Mineral",0.201,"2021","1",1e-06,1e-06,1e-06,1e-06
"67",6,"Aug","West","M2","Mesic","Mineral",0.143,"2021","2",24.31,112.97,126.12,1e-06
"68",6,"Aug","West","M3","Mesic","Mineral",0.1558,"2021","3",1e-06,45.21,33.67,1e-06
