"","SampleID","day","month","year","Time","Area","Site","Plot","Depth_cm","date","ICP","concentration"
"53","PhIr2022-8","29","06","2022","14:50","non-acidic tundra","Mesic",2,0,2022-06-29,"Mg_ug_mL",0.66
"54","PhIr2022-8","29","06","2022","14:50","non-acidic tundra","Mesic",2,0,2022-06-29,"Mn_ug_mL",0.01
"55","PhIr2022-8","29","06","2022","14:50","non-acidic tundra","Mesic",2,0,2022-06-29,"Na_ug_mL",0.13
"56","PhIr2022-8","29","06","2022","14:50","non-acidic tundra","Mesic",2,0,2022-06-29,"P_ug_mL",0.005
"57","PhIr2022-9","29","06","2022","13:43","non-acidic tundra","Mesic",2,10,2022-06-29,"Al_ug_mL",0.49
"58","PhIr2022-9","29","06","2022","13:43","non-acidic tundra","Mesic",2,10,2022-06-29,"Ca_ug_mL",6.9
"59","PhIr2022-9","29","06","2022","13:43","non-acidic tundra","Mesic",2,10,2022-06-29,"Fe_ug_mL",0.21
"60","PhIr2022-9","29","06","2022","13:43","non-acidic tundra","Mesic",2,10,2022-06-29,"K_ug_mL",1.36
"61","PhIr2022-9","29","06","2022","13:43","non-acidic tundra","Mesic",2,10,2022-06-29,"Mg_ug_mL",0.79
"62","PhIr2022-9","29","06","2022","13:43","non-acidic tundra","Mesic",2,10,2022-06-29,"Mn_ug_mL",0.41
"63","PhIr2022-9","29","06","2022","13:43","non-acidic tundra","Mesic",2,10,2022-06-29,"Na_ug_mL",0.8
"64","PhIr2022-9","29","06","2022","13:43","non-acidic tundra","Mesic",2,10,2022-06-29,"P_ug_mL",0.03
"65","PhIr2022-10","29","06","2022","13:10","non-acidic tundra","Mesic",3,0,2022-06-29,"Al_ug_mL",0.04
"66","PhIr2022-10","29","06","2022","13:10","non-acidic tundra","Mesic",3,0,2022-06-29,"Ca_ug_mL",5.57
"67","PhIr2022-10","29","06","2022","13:10","non-acidic tundra","Mesic",3,0,2022-06-29,"Fe_ug_mL",0.01
"68","PhIr2022-10","29","06","2022","13:10","non-acidic tundra","Mesic",3,0,2022-06-29,"K_ug_mL",0.12
"69","PhIr2022-10","29","06","2022","13:10","non-acidic tundra","Mesic",3,0,2022-06-29,"Mg_ug_mL",0.73
"70","PhIr2022-10","29","06","2022","13:10","non-acidic tundra","Mesic",3,0,2022-06-29,"Mn_ug_mL",0.003
"71","PhIr2022-10","29","06","2022","13:10","non-acidic tundra","Mesic",3,0,2022-06-29,"Na_ug_mL",0.14
"72","PhIr2022-10","29","06","2022","13:10","non-acidic tundra","Mesic",3,0,2022-06-29,"P_ug_mL",0.005
"73","PhIr2022-11","29","06","2022","13:50","non-acidic tundra","Mesic",3,10,2022-06-29,"Al_ug_mL",0.04
"74","PhIr2022-11","29","06","2022","13:50","non-acidic tundra","Mesic",3,10,2022-06-29,"Ca_ug_mL",5.09
"75","PhIr2022-11","29","06","2022","13:50","non-acidic tundra","Mesic",3,10,2022-06-29,"Fe_ug_mL",0.03
"76","PhIr2022-11","29","06","2022","13:50","non-acidic tundra","Mesic",3,10,2022-06-29,"K_ug_mL",0.15
"77","PhIr2022-11","29","06","2022","13:50","non-acidic tundra","Mesic",3,10,2022-06-29,"Mg_ug_mL",0.67
"78","PhIr2022-11","29","06","2022","13:50","non-acidic tundra","Mesic",3,10,2022-06-29,"Mn_ug_mL",0.02
"79","PhIr2022-11","29","06","2022","13:50","non-acidic tundra","Mesic",3,10,2022-06-29,"Na_ug_mL",0.16
"80","PhIr2022-11","29","06","2022","13:50","non-acidic tundra","Mesic",3,10,2022-06-29,"P_ug_mL",0.005
"81","PhIr2022-12","29","06","2022","14:04","non-acidic tundra","Mesic",3,20,2022-06-29,"Al_ug_mL",0.08
"82","PhIr2022-12","29","06","2022","14:04","non-acidic tundra","Mesic",3,20,2022-06-29,"Ca_ug_mL",4.46
"83","PhIr2022-12","29","06","2022","14:04","non-acidic tundra","Mesic",3,20,2022-06-29,"Fe_ug_mL",0.55
"84","PhIr2022-12","29","06","2022","14:04","non-acidic tundra","Mesic",3,20,2022-06-29,"K_ug_mL",1.13
"85","PhIr2022-12","29","06","2022","14:04","non-acidic tundra","Mesic",3,20,2022-06-29,"Mg_ug_mL",0.58
"86","PhIr2022-12","29","06","2022","14:04","non-acidic tundra","Mesic",3,20,2022-06-29,"Mn_ug_mL",0.21
"87","PhIr2022-12","29","06","2022","14:04","non-acidic tundra","Mesic",3,20,2022-06-29,"Na_ug_mL",0.27
"88","PhIr2022-12","29","06","2022","14:04","non-acidic tundra","Mesic",3,20,2022-06-29,"P_ug_mL",0.15
"89","PhIr2022-13","29","06","2022","13:25","non-acidic tundra","Hydric",1,0,2022-06-29,"Al_ug_mL",0.22
"90","PhIr2022-13","29","06","2022","13:25","non-acidic tundra","Hydric",1,0,2022-06-29,"Ca_ug_mL",23.9
"91","PhIr2022-13","29","06","2022","13:25","non-acidic tundra","Hydric",1,0,2022-06-29,"Fe_ug_mL",0.28
"92","PhIr2022-13","29","06","2022","13:25","non-acidic tundra","Hydric",1,0,2022-06-29,"K_ug_mL",0.5
"93","PhIr2022-13","29","06","2022","13:25","non-acidic tundra","Hydric",1,0,2022-06-29,"Mg_ug_mL",3.15
"94","PhIr2022-13","29","06","2022","13:25","non-acidic tundra","Hydric",1,0,2022-06-29,"Mn_ug_mL",0.04
"95","PhIr2022-13","29","06","2022","13:25","non-acidic tundra","Hydric",1,0,2022-06-29,"Na_ug_mL",0.53
"96","PhIr2022-13","29","06","2022","13:25","non-acidic tundra","Hydric",1,0,2022-06-29,"P_ug_mL",0.01
"97","PhIr2022-14","29","06","2022","15:07","non-acidic tundra","Hydric",1,10,2022-06-29,"Al_ug_mL",0.01
"98","PhIr2022-14","29","06","2022","15:07","non-acidic tundra","Hydric",1,10,2022-06-29,"Ca_ug_mL",30.6
"99","PhIr2022-14","29","06","2022","15:07","non-acidic tundra","Hydric",1,10,2022-06-29,"Fe_ug_mL",0.65
"100","PhIr2022-14","29","06","2022","15:07","non-acidic tundra","Hydric",1,10,2022-06-29,"K_ug_mL",0.09
"101","PhIr2022-14","29","06","2022","15:07","non-acidic tundra","Hydric",1,10,2022-06-29,"Mg_ug_mL",4.04
"102","PhIr2022-14","29","06","2022","15:07","non-acidic tundra","Hydric",1,10,2022-06-29,"Mn_ug_mL",0.28
"103","PhIr2022-14","29","06","2022","15:07","non-acidic tundra","Hydric",1,10,2022-06-29,"Na_ug_mL",0.28
"104","PhIr2022-14","29","06","2022","15:07","non-acidic tundra","Hydric",1,10,2022-06-29,"P_ug_mL",0.005
"105","PhIr2022-15","29","06","2022","15:15","non-acidic tundra","Hydric",1,20,2022-06-29,"Al_ug_mL",0.01
"106","PhIr2022-15","29","06","2022","15:15","non-acidic tundra","Hydric",1,20,2022-06-29,"Ca_ug_mL",27.1
"107","PhIr2022-15","29","06","2022","15:15","non-acidic tundra","Hydric",1,20,2022-06-29,"Fe_ug_mL",1.09
"108","PhIr2022-15","29","06","2022","15:15","non-acidic tundra","Hydric",1,20,2022-06-29,"K_ug_mL",0.21
"109","PhIr2022-15","29","06","2022","15:15","non-acidic tundra","Hydric",1,20,2022-06-29,"Mg_ug_mL",3.6
"110","PhIr2022-15","29","06","2022","15:15","non-acidic tundra","Hydric",1,20,2022-06-29,"Mn_ug_mL",0.21
"111","PhIr2022-15","29","06","2022","15:15","non-acidic tundra","Hydric",1,20,2022-06-29,"Na_ug_mL",0.32
"112","PhIr2022-15","29","06","2022","15:15","non-acidic tundra","Hydric",1,20,2022-06-29,"P_ug_mL",0.005
"113","PhIr2022-16","29","06","2022","15:00","non-acidic tundra","Hydric",2,0,2022-06-29,"Al_ug_mL",0.48
"114","PhIr2022-16","29","06","2022","15:00","non-acidic tundra","Hydric",2,0,2022-06-29,"Ca_ug_mL",7.91
"115","PhIr2022-16","29","06","2022","15:00","non-acidic tundra","Hydric",2,0,2022-06-29,"Fe_ug_mL",0.19
"116","PhIr2022-16","29","06","2022","15:00","non-acidic tundra","Hydric",2,0,2022-06-29,"K_ug_mL",1.08
"117","PhIr2022-16","29","06","2022","15:00","non-acidic tundra","Hydric",2,0,2022-06-29,"Mg_ug_mL",1
"118","PhIr2022-16","29","06","2022","15:00","non-acidic tundra","Hydric",2,0,2022-06-29,"Mn_ug_mL",0.08
"119","PhIr2022-16","29","06","2022","15:00","non-acidic tundra","Hydric",2,0,2022-06-29,"Na_ug_mL",0.76
"120","PhIr2022-16","29","06","2022","15:00","non-acidic tundra","Hydric",2,0,2022-06-29,"P_ug_mL",0.01
"121","PhIr2022-17","29","06","2022","15:21","non-acidic tundra","Hydric",2,10,2022-06-29,"Al_ug_mL",0.01
"122","PhIr2022-17","29","06","2022","15:21","non-acidic tundra","Hydric",2,10,2022-06-29,"Ca_ug_mL",13.8
"123","PhIr2022-17","29","06","2022","15:21","non-acidic tundra","Hydric",2,10,2022-06-29,"Fe_ug_mL",0.01
"124","PhIr2022-17","29","06","2022","15:21","non-acidic tundra","Hydric",2,10,2022-06-29,"K_ug_mL",0.03
"125","PhIr2022-17","29","06","2022","15:21","non-acidic tundra","Hydric",2,10,2022-06-29,"Mg_ug_mL",1.52
"126","PhIr2022-17","29","06","2022","15:21","non-acidic tundra","Hydric",2,10,2022-06-29,"Mn_ug_mL",0.01
"127","PhIr2022-17","29","06","2022","15:21","non-acidic tundra","Hydric",2,10,2022-06-29,"Na_ug_mL",0.22
"128","PhIr2022-17","29","06","2022","15:21","non-acidic tundra","Hydric",2,10,2022-06-29,"P_ug_mL",0.005
"129","PhIr2022-18","29","06","2022","15:29","non-acidic tundra","Hydric",2,20,2022-06-29,"Al_ug_mL",0.06
"130","PhIr2022-18","29","06","2022","15:29","non-acidic tundra","Hydric",2,20,2022-06-29,"Ca_ug_mL",11.1
"131","PhIr2022-18","29","06","2022","15:29","non-acidic tundra","Hydric",2,20,2022-06-29,"Fe_ug_mL",0.18
"132","PhIr2022-18","29","06","2022","15:29","non-acidic tundra","Hydric",2,20,2022-06-29,"K_ug_mL",0.12
"133","PhIr2022-18","29","06","2022","15:29","non-acidic tundra","Hydric",2,20,2022-06-29,"Mg_ug_mL",1.18
