"","Sample_ID","Core_ID","Date_collected","Area","Site","Plot_num","Plot_ID","Horizon","Depth_1_cm","Depth_2_cm","Depth_3_cm","Depth_4_cm","Average_Depth_cm","real_depth_cm","soil_bulk_density_g_cm3","volumetric_water_content_cm3_cm3","soil_material","label","date_simple","data"
"11","20210706-E-M3_O","20210706-E-M3","6-Jul-21","acidic tundra","Mesic","3","E-M3","O","7.5","11","10.5","10.5","9.9","9.9","0.17","0.2601","organic","Plot-1-3","Plot-1","analyzed"
"12","20210706-E-H1_O1","20210706-E-H1","6-Jul-21","acidic tundra","Hydric","1","E-H1","O1","12","10","9","9.5","10.1","10.1","0.1","0.49","organic","Plot-1-1","Plot-1","analyzed"
"13","20210706-E-H1_O2","20210706-E-H1","6-Jul-21","acidic tundra","Hydric","1","E-H1","O2","4","7","6.5","7","6.1","16.2","0.1","0.376","organic","Plot-1-1","Plot-1","analyzed"
"14","20210706-E-H2_O1","20210706-E-H2","6-Jul-21","acidic tundra","Hydric","2","E-H2","O1","11","9","11","11","10.5","10.5","0.03","0.1998","organic","Plot-1-2","Plot-1","analyzed"
"15","20210706-E-H2_O2","20210706-E-H2","6-Jul-21","acidic tundra","Hydric","2","E-H2","O2","8.5","8.5","8","8","8.3","18.8","0.2","0.574","organic","Plot-1-2","Plot-1","analyzed"
"16","20210706-E-H3_O1","20210706-E-H3","6-Jul-21","acidic tundra","Hydric","3","E-H3","O1","not analyzed","not analyzed","not analyzed","not analyzed","not analyzed","not analyzed","not analyzed","not analyzed","organic","Plot-1-3","Plot-1","not analyzed"
"17","20210706-E-H3_O2","20210706-E-H3","6-Jul-21","acidic tundra","Hydric","3","E-H3","O2","11","10","10","11","10.5","not analyzed","0.17","0.4896","organic","Plot-1-3","Plot-1","analyzed"
"18","20210707-W-D1_O","20210707-W-D1","7-Jul-21","non-acidic tundra","Dry","1","W-D1","O","18.5","18","16.5","17.5","17.6","17.6","0.08","0.3696","organic","Plot-1-1","Plot-1","analyzed"
"19","20210707-W-D2_O","20210707-W-D2","7-Jul-21","non-acidic tundra","Dry","2","W-D2","O","11.5","12","12","9","11.1","11.1","0.14","0.476","organic","Plot-1-2","Plot-1","analyzed"
"20","20210707-W-D3_O1","20210707-W-D3","7-Jul-21","non-acidic tundra","Dry","3","W-D3","O1","12","10.5","11","11","11.1","11.1","0.08","0.2544","organic","Plot-1-3","Plot-1","analyzed"
"21","20210707-W-D3_O2","20210707-W-D3","7-Jul-21","non-acidic tundra","Dry","3","W-D3","O2","5","5.5","5.5","5.5","5.4","16.5","0.23","0.6233","organic","Plot-1-3","Plot-1","analyzed"
"22","20210707-W-M1_O","20210707-W-M1","7-Jul-21","non-acidic tundra","Mesic","1","W-M1","O","10.5","11","11","10.5","10.8","10.8","0.09","0.4239","organic","Plot-1-1","Plot-1","analyzed"
"23","20210707-W-M2_O1","20210707-W-M2","7-Jul-21","non-acidic tundra","Mesic","2","W-M2","O1","6.5","6.5","7","6.5","6.6","6.6","0.07","0.3724","organic","Plot-1-2","Plot-1","analyzed"
"24","20210707-W-M2_O2","20210707-W-M2","7-Jul-21","non-acidic tundra","Mesic","2","W-M2","O2","6","7","6","6","6.3","12.9","0.14","0.5432","organic","Plot-1-2","Plot-1","analyzed"
"25","20210707-W-M3_O1","20210707-W-M3","7-Jul-21","non-acidic tundra","Mesic","3","W-M3","O1","7","7.5","6","5","6.4","6.4","0.06","0.372","organic","Plot-1-3","Plot-1","analyzed"
"26","20210707-W-M3_O2","20210707-W-M3","7-Jul-21","non-acidic tundra","Mesic","3","W-M3","O2","9","9","10","8","9","15.4","0.16","0.608","organic","Plot-1-3","Plot-1","analyzed"
"27","20210707-W-H1_O1","20210707-W-H1","7-Jul-21","non-acidic tundra","Hydric","1","W-H1","O1","8","8.5","9","9","8.6","8.6","0.14","0.7308","organic","Plot-1-1","Plot-1","analyzed"
"28","20210707-W-H1_O2","20210707-W-H1","7-Jul-21","non-acidic tundra","Hydric","1","W-H1","O2","9.5","7.5","9","9.5","8.9","17.5","0.12","0.666","organic","Plot-1-1","Plot-1","analyzed"
"29","20210707-W-H2_O1","20210707-W-H2","7-Jul-21","non-acidic tundra","Hydric","2","W-H2","O1","9","9","9.5","8.5","9","9","0.11","0.5203","organic","Plot-1-2","Plot-1","analyzed"
"30","20210707-W-H2_O2","20210707-W-H2","7-Jul-21","non-acidic tundra","Hydric","2","W-H2","O2","5","4","5.5","6.5","5.3","14.3","0.14","0.6622","organic","Plot-1-2","Plot-1","analyzed"
"31","20210707-W-H3_O1","20210707-W-H3","7-Jul-21","non-acidic tundra","Hydric","3","W-H3","O1","8.5","7","7.5","8.5","7.9","7.9","0.1","0.418","organic","Plot-1-3","Plot-1","analyzed"
"32","20210707-W-H3_O2","20210707-W-H3","7-Jul-21","non-acidic tundra","Hydric","3","W-H3","O2","16.5","15.5","12","12.5","14.1","22","0.11","0.4884","organic","Plot-1-3","Plot-1","analyzed"
