"","X","SampleID","day","month","year","Time","Area","Site","Plot","Depth_cm","date","ICP","concentration"
"85",85,"PhIr2022-12",29,"June",2022,"14:04","non-acidic tundra","Mesic",3,20,"2022-06-29","Mg_ug_mL",0.58
"86",86,"PhIr2022-12",29,"June",2022,"14:04","non-acidic tundra","Mesic",3,20,"2022-06-29","Mn_ug_mL",0.21
"87",87,"PhIr2022-12",29,"June",2022,"14:04","non-acidic tundra","Mesic",3,20,"2022-06-29","Na_ug_mL",0.27
"88",88,"PhIr2022-12",29,"June",2022,"14:04","non-acidic tundra","Mesic",3,20,"2022-06-29","P_ug_mL",0.15
"89",89,"PhIr2022-13",29,"June",2022,"13:25","non-acidic tundra","Hydric",1,0,"2022-06-29","Al_ug_mL",0.22
"90",90,"PhIr2022-13",29,"June",2022,"13:25","non-acidic tundra","Hydric",1,0,"2022-06-29","Ca_ug_mL",23.9
"91",91,"PhIr2022-13",29,"June",2022,"13:25","non-acidic tundra","Hydric",1,0,"2022-06-29","Fe_ug_mL",0.28
"92",92,"PhIr2022-13",29,"June",2022,"13:25","non-acidic tundra","Hydric",1,0,"2022-06-29","K_ug_mL",0.5
"93",93,"PhIr2022-13",29,"June",2022,"13:25","non-acidic tundra","Hydric",1,0,"2022-06-29","Mg_ug_mL",3.15
"94",94,"PhIr2022-13",29,"June",2022,"13:25","non-acidic tundra","Hydric",1,0,"2022-06-29","Mn_ug_mL",0.04
"95",95,"PhIr2022-13",29,"June",2022,"13:25","non-acidic tundra","Hydric",1,0,"2022-06-29","Na_ug_mL",0.53
"96",96,"PhIr2022-13",29,"June",2022,"13:25","non-acidic tundra","Hydric",1,0,"2022-06-29","P_ug_mL",0.01
"97",97,"PhIr2022-14",29,"June",2022,"15:07","non-acidic tundra","Hydric",1,10,"2022-06-29","Al_ug_mL",0.01
"98",98,"PhIr2022-14",29,"June",2022,"15:07","non-acidic tundra","Hydric",1,10,"2022-06-29","Ca_ug_mL",30.6
"99",99,"PhIr2022-14",29,"June",2022,"15:07","non-acidic tundra","Hydric",1,10,"2022-06-29","Fe_ug_mL",0.65
"100",100,"PhIr2022-14",29,"June",2022,"15:07","non-acidic tundra","Hydric",1,10,"2022-06-29","K_ug_mL",0.09
"101",101,"PhIr2022-14",29,"June",2022,"15:07","non-acidic tundra","Hydric",1,10,"2022-06-29","Mg_ug_mL",4.04
"102",102,"PhIr2022-14",29,"June",2022,"15:07","non-acidic tundra","Hydric",1,10,"2022-06-29","Mn_ug_mL",0.28
"103",103,"PhIr2022-14",29,"June",2022,"15:07","non-acidic tundra","Hydric",1,10,"2022-06-29","Na_ug_mL",0.28
"104",104,"PhIr2022-14",29,"June",2022,"15:07","non-acidic tundra","Hydric",1,10,"2022-06-29","P_ug_mL",0.005
"105",105,"PhIr2022-15",29,"June",2022,"15:15","non-acidic tundra","Hydric",1,20,"2022-06-29","Al_ug_mL",0.01
"106",106,"PhIr2022-15",29,"June",2022,"15:15","non-acidic tundra","Hydric",1,20,"2022-06-29","Ca_ug_mL",27.1
"107",107,"PhIr2022-15",29,"June",2022,"15:15","non-acidic tundra","Hydric",1,20,"2022-06-29","Fe_ug_mL",1.09
"108",108,"PhIr2022-15",29,"June",2022,"15:15","non-acidic tundra","Hydric",1,20,"2022-06-29","K_ug_mL",0.21
"109",109,"PhIr2022-15",29,"June",2022,"15:15","non-acidic tundra","Hydric",1,20,"2022-06-29","Mg_ug_mL",3.6
"110",110,"PhIr2022-15",29,"June",2022,"15:15","non-acidic tundra","Hydric",1,20,"2022-06-29","Mn_ug_mL",0.21
"111",111,"PhIr2022-15",29,"June",2022,"15:15","non-acidic tundra","Hydric",1,20,"2022-06-29","Na_ug_mL",0.32
