"","Sample_ID","Core_ID","Date_collected","Area","Site","Plot_num","Plot_ID","Horizon","soil_material","Average_thickness_cm","real_depth_cm","soil_bulk_density_g_cm3","grav_moist_perc","grav_water_gh20_per_gdrysoil","volumetric_water_content_cm3_cm3"
"169","20210807-E-M1_M1","20210807-E-M1","7-Aug-21","acidic tundra","Mesic","1","E-M1","M1","mineral",3.6,7.2,0.99,22.8,0.29,0.2871
"170","20210807-E-M1_M2","20210807-E-M1","7-Aug-21","acidic tundra","Mesic","1","E-M1","M2","mineral",8.6,15.8,1.28,19.8,0.25,0.32
"171","20210807-E-M2_O1","20210807-E-M2","7-Aug-21","acidic tundra","Mesic","2","E-M2","O1","organic",9,9,NA,NA,NA,NA
"172","20210807-E-M2_O2","20210807-E-M2","7-Aug-21","acidic tundra","Mesic","2","E-M2","O2","organic",5.8,14.8,NA,NA,NA,NA
"173","20210807-E-M3_O","20210807-E-M3","7-Aug-21","acidic tundra","Mesic","3","E-M3","O","organic",5.4,5.4,0.06,76.6,3.27,0.1962
"174","20210807-E-M3_M","20210807-E-M3","7-Aug-21","acidic tundra","Mesic","3","E-M3","M","mineral",11.1,16.5,0.9,31.8,0.47,0.423
"175","20210807-E-H1_O1","20210807-E-H1","7-Aug-21","acidic tundra","Hydric","1","E-H1","O1","organic",5.4,5.4,0.07,83,4.88,0.3416
"176","20210807-E-H1_O2","20210807-E-H1","7-Aug-21","acidic tundra","Hydric","1","E-H1","O2","organic",7.8,13.2,0.23,73.2,2.73,0.6279
"177","20210807-E-H1_M","20210807-E-H1","7-Aug-21","acidic tundra","Hydric","1","E-H1","M","mineral",7.3,20.5,0.8,37.9,0.61,0.488
"178","20210807-E-H2_O1","20210807-E-H2","7-Aug-21","acidic tundra","Hydric","2","E-H2","O1","organic",5.3,5.3,NA,NA,NA,NA
"179","20210807-E-H2_O2","20210807-E-H2","7-Aug-21","acidic tundra","Hydric","2","E-H2","O2","organic",6.8,12.1,NA,NA,NA,NA
"180","20210807-E-H2_O 3","20210807-E-H2","7-Aug-21","acidic tundra","Hydric","2","E-H2","O3","organic",8.9,21,NA,NA,NA,NA
"181","20210807-E-H3_O1","20210807-E-H3","7-Aug-21","acidic tundra","Hydric","3","E-H3","O1","organic",6.9,6.9,NA,NA,NA,NA
"182","20210807-E-H3_O2","20210807-E-H3","7-Aug-21","acidic tundra","Hydric","3","E-H3","O2","organic",8.5,15.4,NA,NA,NA,NA
"183","20210807-W-D1_O1","20210807-W-D1","7-Aug-21","non-acidic tundra","Dry","1","W-D1","O1","organic",7.3,7.3,NA,NA,NA,NA
"184","20210807-W-D1_O2","20210807-W-D1","7-Aug-21","non-acidic tundra","Dry","1","W-D1","O2","organic",13,20.3,NA,NA,NA,NA
"185","20210807-W-D2_O1","20210807-W-D2","7-Aug-21","non-acidic tundra","Dry","2","W-D2","O1","organic",9.1,9.1,NA,NA,NA,NA
"186","20210807-W-D2_O2","20210807-W-D2","7-Aug-21","non-acidic tundra","Dry","2","W-D2","O2","organic",10.3,19.4,NA,NA,NA,NA
"187","20210807-W-D3_O1","20210807-W-D3","7-Aug-21","non-acidic tundra","Dry","3","W-D3","O1","organic",8.4,8.4,NA,NA,NA,NA
"188","20210807-W-D3_O2","20210807-W-D3","7-Aug-21","non-acidic tundra","Dry","3","W-D3","O2","organic",13.1,21.5,NA,NA,NA,NA
"189","20210807-W-M1_O1","20210807-W-M1","7-Aug-21","non-acidic tundra","Mesic","1","W-M1","O1","organic",10,10,NA,NA,NA,NA
"190","20210807-W-M1_O2","20210807-W-M1","7-Aug-21","non-acidic tundra","Mesic","1","W-M1","O2","organic",6.4,16.4,NA,NA,NA,NA
"191","20210807-W-M2_O1","20210807-W-M2","7-Aug-21","non-acidic tundra","Mesic","2","W-M2","O1","organic",9.5,9.5,0.06,83.3,NA,NA
"192","20210807-W-M2_O2","20210807-W-M2","7-Aug-21","non-acidic tundra","Mesic","2","W-M2","O2","organic",9.3,18.8,0.18,73.8,2.81,0.5058
"193","20210807-W-M2_M","20210807-W-M2","7-Aug-21","non-acidic tundra","Mesic","2","W-M2","M","mineral",3.3,22.1,0.84,38,0.61,0.5124
"194","20210807-W-M3_O1","20210807-W-M3","7-Aug-21","non-acidic tundra","Mesic","3","W-M3","O1","organic",9.3,9.3,NA,NA,NA,NA
"195","20210807-W-M3_O2","20210807-W-M3","7-Aug-21","non-acidic tundra","Mesic","3","W-M3","O2","organic",10.4,19.7,NA,NA,NA,NA
"196","20210807-W-H1_O1","20210807-W-H1","7-Aug-21","non-acidic tundra","Hydric","1","W-H1","O1","organic",8.6,8.6,0.15,76.6,3.27,0.4905
"197","20210807-W-H1_O2","20210807-W-H1","7-Aug-21","non-acidic tundra","Hydric","1","W-H1","O2","organic",8.3,16.9,NA,NA,NA,NA
"198","20210807-W-H2_O1","20210807-W-H2","7-Aug-21","non-acidic tundra","Hydric","2","W-H2","O1","organic",11.1,11.1,0.18,71.1,2.46,0.4428
"199","20210807-W-H2_O2","20210807-W-H2","7-Aug-21","non-acidic tundra","Hydric","2","W-H2","O2","organic",8.9,20,0.15,78.8,3.71,0.5565
"200","20210807-W-H3_O1","20210807-W-H3","7-Aug-21","non-acidic tundra","Hydric","3","W-H3","O1","organic",9.8,9.8,NA,NA,NA,NA
"201","20210807-W-H3_O2","20210807-W-H3","7-Aug-21","non-acidic tundra","Hydric","3","W-H3","O2","organic",8.3,18.1,NA,NA,NA,NA
