SampleID,Date,Time,Area,Site,Plot,Plot_ID,Subsamples_collected,Depth_cm,Solution_pH,Solution_SC,Solution_temp,Filter Type,Comments,
PhIr2022-49,12-Jul-2022,13:17,West,Mesic,2,W-M2,A-D,20,6.29,45,9.5,PES,SC recorded in lab,
PhIr2022-50,12-Jul-2022,12:28,West,Mesic,3,W-M3,A-D,0,7.1,54,6.8,PES,SC recorded in lab,
PhIr2022-51,12-Jul-2022,12:50,West,Mesic,3,W-M3,A-D,10,6.95,44,7,PES,SC recorded in lab,
PhIr2022-52,12-Jul-2022,13:10,West,Mesic,3,W-M3,A-D,20,6.33,50,6.8,PES,SC recorded in lab,
PhIr2022-53,12-Jul-2022,13:50,West,Hydric,1,W-H1,A-D,0,7.07,164,10.7,PES,SC recorded in lab,
PhIr2022-54,12-Jul-2022,14:14,West,Hydric,1,W-H1,A-D,10,6.94,197,10.2,PES,SC recorded in lab,
PhIr2022-55,12-Jul-2022,14:31,West,Hydric,1,W-H1,A-D,20,6.78,195,10.4,PES,SC recorded in lab,
PhIr2022-56,12-Jul-2022,13:57,West,Hydric,2,W-H2,A-D,0,6.89,63,9.4,PES,SC recorded in lab,
PhIr2022-57,12-Jul-2022,14:20,West,Hydric,2,W-H2,A-D,10,6.91,116,10.2,PES,SC recorded in lab,
PhIr2022-58,12-Jul-2022,14:36,West,Hydric,2,W-H2,A-D,20,6.75,105,9.4,PES,SC recorded in lab,
PhIr2022-59,12-Jul-2022,14:05,West,Hydric,3,W-H3,A-D,0,6.81,182,10,PES,SC recorded in lab,
PhIr2022-60,12-Jul-2022,14:25,West,Hydric,3,W-H3,A-D,10,6.87,239,9.6,PES,SC recorded in lab,
PhIr2022-61,12-Jul-2022,14:41,West,Hydric,3,W-H3,A-D,20,6.79,219,9,PES,SC recorded in lab,
PhIr2022-62,12-Jul-2022,14:53,West,Hydric,3,W-H3,A-D,40,6.55,246,7.7,PES,SC recorded in lab,
PhIr2022-63,18-Jul-2022,13:05,East,Dry,1,E-D1,A-D,10,6.68,55,22.7,PES,SC and PH recorded in field,
PhIr2022-64,18-Jul-2022,11:18,East,Dry,3,E-D3,A-D,20,5.74,,16.1,PES,SC and PH recorded in field,
PhIr2022-65,18-Jul-2022,12:00,East,Mesic,1,E-M1,A-D,10,5.74,34,13.1,PES,SC and PH recorded in field,
PhIr2022-66,18-Jul-2022,12:08,East,Mesic,2,E-M2,A-D,10,6.4,39,10.8,PES,SC and PH recorded in field,
PhIr2022-67,18-Jul-2022,14:44,East,Hydric,1,E-H1,A-D,0,5.62,21,11.9,PES,SC and PH recorded in field,
PhIr2022-68,18-Jul-2022,14:38,East,Hydric,1,E-H1,A-D,10,5.31,29,12.6,PES,SC and PH recorded in field,
PhIr2022-69,18-Jul-2022,14:26,East,Hydric,1,E-H1,A-D,20,5.13,44,12.5,PES,SC and PH recorded in field,
PhIr2022-70,18-Jul-2022,14:33,East,Hydric,2,E-H2,A-D,0,6.18,30,13.3,PES,SC and PH recorded in field,
PhIr2022-71,18-Jul-2022,14:12,East,Hydric,2,E-H2,A-D,10,5.71,34,14,PES,SC and PH recorded in field,
PhIr2022-72,18-Jul-2022,15:02,East,Hydric,2,E-H2,A-D,20,,,,PES,SC and PH not recorded,
PhIr2022-73,18-Jul-2022,14:13,East,Hydric,3,E-H3,A-D,0,6.4,51,13.8,PES,SC and PH recorded in field,
PhIr2022-74,18-Jul-2022,14:57,East,Hydric,3,E-H3,A-D,10,6.06,124,10,PES,SC and PH recorded in field,
PhIr2022-75,19-Jul-2022,10:29,West,Dry,1,W-D1,A-D,20,6.58,176,10.1,PES,SC and PH recorded in field,
PhIr2022-76,19-Jul-2022,10:53,West,Dry,2,W-D2,A-D,20,6.49,32,9.2,PES,SC and PH recorded in field,
PhIr2022-77,19-Jul-2022,11:53,West,Mesic,1,W-M1,A-D,20,6.32,123,13.2,PES,SC and PH recorded in field,
PhIr2022-78,19-Jul-2022,12:00,West,Mesic,2,W-M2,A-D,0,6.51,37,9.7,PES,SC and PH recorded in field,
PhIr2022-79,19-Jul-2022,11:44,West,Mesic,2,W-M2,A-D,10,6.31,104,11.9,PES,SC and PH recorded in field,
PhIr2022-80,19-Jul-2022,11:56,West,Mesic,2,W-M2,A-D,20,5.98,66,12.2,PES,SC and PH recorded in field,
PhIr2022-81,19-Jul-2022,12:09,West,Mesic,3,W-M3,A-D,0,7.12,148,8.1,PES,SC and PH recorded in field,
PhIr2022-82,19-Jul-2022,12:19,West,Mesic,3,W-M3,A-D,10,7.04,61,9.2,PES,SC and PH recorded in field,
PhIr2022-83,19-Jul-2022,12:27,West,Mesic,3,W-M3,A-D,20,5.86,52,10.5,PES,SC and PH recorded in field,
PhIr2022-84,19-Jul-2022,13:20,West,Hydric,1,W-H1,A-D,0,6.43,178,15.3,PES,SC and PH recorded in field,
PhIr2022-85,19-Jul-2022,13:40,West,Hydric,1,W-H1,A-D,10,6.86,156,10.8,PES,SC and PH recorded in field,
PhIr2022-86,19-Jul-2022,13:57,West,Hydric,1,W-H1,A-D,20,6.89,178,10.8,PES,SC and PH recorded in field,
PhIr2022-87,19-Jul-2022,13:26,West,Hydric,2,W-H2,A-D,0,7.11,67,10.4,PES,SC and PH recorded in field,
