sampleID,Core_ID,Date_collected,Area,Site,Plot_num,Plot_ID,Horizon,Depth_1_cm,Depth_2_cm,Depth_3_cm,Depth_4_cm,Average_Depth_cm,real_depth_cm,soil_bulk_density_g_cm3,volumetric_water_content_cm3_cm3,soil_material,label,driedsample_readyforshipping
20210707-W-H2_O1,20210707-W-H2,7-Jul-21,non-acidic tundra,Hydric,2,W-H2,O1,9,9,9.5,8.5,9,9,0.11,0.5203,organic,O1,yes
20210707-W-H2_O2,20210707-W-H2,7-Jul-21,non-acidic tundra,Hydric,2,W-H2,O2,5,4,5.5,6.5,5.3,14.3,0.14,0.6622,organic,O2,yes
20210707-W-H3_O1,20210707-W-H3,7-Jul-21,non-acidic tundra,Hydric,3,W-H3,O1,8.5,7,7.5,8.5,7.9,7.9,0.1,0.418,organic,O1,yes
20210707-W-H3_O2,20210707-W-H3,7-Jul-21,non-acidic tundra,Hydric,3,W-H3,O2,16.5,15.5,12,12.5,14.1,22,0.11,0.4884,organic,O2,yes
20210713-W-D1_O1,20210713-W-D1,13-Jul-21,non-acidic tundra,Dry,1,W-D1,O1,9,9,10.5,10.5,9.8,9.8,0.05,0.197,organic,O1,yes
20210713-W-D1_O2,20210713-W-D1,13-Jul-21,non-acidic tundra,Dry,1,W-D1,O2,10.5,11,10.5,11.5,10.9,20.7,0.17,0.5644,organic,O2,yes
20210713-W-D2_O1,20210713-W-D2,13-Jul-21,non-acidic tundra,Dry,2,W-D2,O1,12.5,12.5,13,13,12.8,12.8,0.04,0.2624,organic,O1,yes
20210713-W-D2_O2,20210713-W-D2,13-Jul-21,non-acidic tundra,Dry,2,W-D2,O2,5.5,6.5,8,7,6.8,19.6,0.14,0.5418,organic,O2,yes
20210713-W-D3_O1,20210713-W-D3,13-Jul-21,non-acidic tundra,Dry,3,W-D3,O1,11,12,10,11,11,11,0.05,0.185,organic,O1,yes
20210713-W-D3_O2,20210713-W-D3,13-Jul-21,non-acidic tundra,Dry,3,W-D3,O2,11,10.5,9.5,9,10,21,0.13,0.4277,organic,O2,yes
20210713-W-M1_O1,20210713-W-M1,13-Jul-21,non-acidic tundra,Mesic,1,W-M1,O1,12,13,12.5,11.5,12.3,12.3,0.05,0.2285,organic,O1,yes
20210713-W-M1_O2,20210713-W-M1,13-Jul-21,non-acidic tundra,Mesic,1,W-M1,O2,8.5,8,8.5,8.5,8.4,20.7,0.12,0.5472,organic,O2,yes
