sampleID,Core_ID,Date_collected,Area,Site,Plot_num,Plot_ID,Horizon,Depth_1_cm,Depth_2_cm,Depth_3_cm,Depth_4_cm,Average_Depth_cm,real_depth_cm,soil_bulk_density_g_cm3,volumetric_water_content_cm3_cm3,soil_material,label,driedsample_readyforshipping
20210731-W-M1_O2,20210731-W-M1,31-Jul-21,non-acidic tundra,Mesic,1,W-M1,O2,11,12.5,11.5,11,11.5,16.6,NA,NA,organic,O2,NA
20210731-W-M2_O1,20210731-W-M2,31-Jul-21,non-acidic tundra,Mesic,2,W-M2,O1,10,10.5,10,10,10.1,10.1,NA,NA,organic,O1,NA
20210731-W-M2_O2,20210731-W-M2,31-Jul-21,non-acidic tundra,Mesic,2,W-M2,O2,10.5,10.5,11,10,10.5,20.6,NA,NA,organic,O2,NA
20210731-W-M3_O1,20210731-W-M3,31-Jul-21,non-acidic tundra,Mesic,3,W-M3,O1,7.5,8.5,9,9.5,8.6,8.6,NA,NA,organic,O1,NA
20210731-W-M3_O2,20210731-W-M3,31-Jul-21,non-acidic tundra,Mesic,3,W-M3,O2,13,12,11,10.5,11.6,20.2,NA,NA,organic,O2,NA
20210731-W-H1_O1,20210731-W-H1,31-Jul-21,non-acidic tundra,Hydric,1,W-H1,O1,9.5,9,9,9,9.1,9.1,NA,NA,organic,O1,NA
20210731-W-H1_O2,20210731-W-H1,31-Jul-21,non-acidic tundra,Hydric,1,W-H1,O2,9,8,6.5,8.5,8,17.1,NA,NA,organic,O2,NA
20210731-W-H2_O1,20210731-W-H2,31-Jul-21,non-acidic tundra,Hydric,2,W-H2,O1,9.5,9,8.5,9.5,9.1,9.1,NA,NA,organic,O1,NA
20210731-W-H2_O2,20210731-W-H2,31-Jul-21,non-acidic tundra,Hydric,2,W-H2,O2,11,9.5,11,9,10.1,19.2,NA,NA,organic,O2,NA
20210731-W-H3_O1,20210731-W-H3,31-Jul-21,non-acidic tundra,Hydric,3,W-H3,O1,8,7,8.5,9,8.1,8.1,NA,NA,organic,O1,NA
20210731-W-H3_O2,20210731-W-H3,31-Jul-21,non-acidic tundra,Hydric,3,W-H3,O2,6,7.5,8,6,6.9,15,NA,NA,organic,O2,NA
20210807-E-D1_O1,20210807-E-D1,7-Aug-21,acidic tundra,Dry,1,E-D1,O1,9,10,10,9.5,9.6,9.6,NA,NA,organic,O1,NA
20210807-E-D1_O2,20210807-E-D1,7-Aug-21,acidic tundra,Dry,1,E-D1,O2,8.5,7.5,9,10,8.8,18.4,NA,NA,organic,O2,NA
20210807-E-D2_O,20210807-E-D2,7-Aug-21,acidic tundra,Dry,2,E-D2,O,7.5,7.5,7.5,7.5,7.5,7.5,0.03,0.0843,organic,O,NA
20210807-E-D2_M,20210807-E-D2,7-Aug-21,acidic tundra,Dry,2,E-D2,M,13.5,11,12.5,12.5,12.4,19.9,0.43,0.4257,mineral,M,yes
20210807-E-D3_O1,20210807-E-D3,7-Aug-21,acidic tundra,Dry,3,E-D3,O1,12,11.5,11.5,12,11.8,11.8,0.03,0.1545,organic,O1,NA
20210807-E-D3_O2,20210807-E-D3,7-Aug-21,acidic tundra,Dry,3,E-D3,O2,7.5,7.5,8.5,9,8.1,19.9,0.33,0.5544,organic,O2,NA
20210807-E-M1_O,20210807-E-M1,7-Aug-21,acidic tundra,Mesic,1,E-M1,O,3.5,4,3.5,3.5,3.6,3.6,0.07,0.1659,organic,O,NA
20210807-E-M1_M1,20210807-E-M1,7-Aug-21,acidic tundra,Mesic,1,E-M1,M1,3.5,3.5,3.5,4,3.6,7.2,0.99,0.2871,mineral,M1,yes
20210807-E-M1_M2,20210807-E-M1,7-Aug-21,acidic tundra,Mesic,1,E-M1,M2,9,5.5,10,10,8.6,15.8,1.28,0.32,mineral,M2,yes
20210807-E-M2_O1,20210807-E-M2,7-Aug-21,acidic tundra,Mesic,2,E-M2,O1,8.5,9.5,9.5,8.5,9,9,NA,NA,organic,O1,NA
20210807-E-M2_O2,20210807-E-M2,7-Aug-21,acidic tundra,Mesic,2,E-M2,O2,6,6.5,5,5.5,5.8,14.8,NA,NA,organic,O2,NA
20210807-E-M3_O,20210807-E-M3,7-Aug-21,acidic tundra,Mesic,3,E-M3,O,4.5,5.5,6,5.5,5.4,5.4,0.06,0.1962,organic,O,yes
20210807-E-M3_M,20210807-E-M3,7-Aug-21,acidic tundra,Mesic,3,E-M3,M,10,11,12,11.5,11.1,16.5,0.9,0.423,mineral,M,yes
20210807-E-H1_O1,20210807-E-H1,7-Aug-21,acidic tundra,Hydric,1,E-H1,O1,5.5,4,5,7,5.4,5.4,0.07,0.3416,organic,O1,NA
20210807-E-H1_O2,20210807-E-H1,7-Aug-21,acidic tundra,Hydric,1,E-H1,O2,8,8.5,7.5,7,7.8,13.2,0.23,0.6279,organic,O2,yes
20210807-E-H1_M,20210807-E-H1,7-Aug-21,acidic tundra,Hydric,1,E-H1,M,7,7,8,7,7.3,20.5,0.8,0.488,mineral,M,yes
20210807-E-H2_O1,20210807-E-H2,7-Aug-21,acidic tundra,Hydric,2,E-H2,O1,6,6,3.5,5.5,5.3,5.3,NA,NA,organic,O1,NA
20210807-E-H2_O2,20210807-E-H2,7-Aug-21,acidic tundra,Hydric,2,E-H2,O2,7.5,7,7,5.5,6.8,12.1,NA,NA,organic,O2,NA
20210807-E-H2_O 3,20210807-E-H2,7-Aug-21,acidic tundra,Hydric,2,E-H2,O3,7,9.5,10,9,8.9,21,NA,NA,organic,O3,NA
20210807-E-H3_O1,20210807-E-H3,7-Aug-21,acidic tundra,Hydric,3,E-H3,O1,8,7,6,6.5,6.9,6.9,NA,NA,organic,O1,NA
20210807-E-H3_O2,20210807-E-H3,7-Aug-21,acidic tundra,Hydric,3,E-H3,O2,7.5,8,9,9.5,8.5,15.4,NA,NA,organic,O2,NA
20210807-W-D1_O1,20210807-W-D1,7-Aug-21,non-acidic tundra,Dry,1,W-D1,O1,8,8,6,7,7.3,7.3,NA,NA,organic,O1,NA
20210807-W-D1_O2,20210807-W-D1,7-Aug-21,non-acidic tundra,Dry,1,W-D1,O2,12.5,13,13,13.5,13,20.3,NA,NA,organic,O2,NA
20210807-W-D2_O1,20210807-W-D2,7-Aug-21,non-acidic tundra,Dry,2,W-D2,O1,9,8.5,9.5,9.5,9.1,9.1,NA,NA,organic,O1,NA
20210807-W-D2_O2,20210807-W-D2,7-Aug-21,non-acidic tundra,Dry,2,W-D2,O2,10.5,10.5,10,10,10.3,19.4,NA,NA,organic,O2,NA
20210807-W-D3_O1,20210807-W-D3,7-Aug-21,non-acidic tundra,Dry,3,W-D3,O1,9,8.5,7.5,8.5,8.4,8.4,NA,NA,organic,O1,yes
20210807-W-D3_O2,20210807-W-D3,7-Aug-21,non-acidic tundra,Dry,3,W-D3,O2,12.5,13,12.5,14.5,13.1,21.5,NA,NA,organic,O2,yes
20210807-W-M1_O1,20210807-W-M1,7-Aug-21,non-acidic tundra,Mesic,1,W-M1,O1,9,11,11,9,10,10,NA,NA,organic,O1,NA
20210807-W-M1_O2,20210807-W-M1,7-Aug-21,non-acidic tundra,Mesic,1,W-M1,O2,7,7,6.5,5,6.4,16.4,NA,NA,organic,O2,NA
20210807-W-M2_O1,20210807-W-M2,7-Aug-21,non-acidic tundra,Mesic,2,W-M2,O1,9.5,9.5,10,9,9.5,9.5,0.06,NA,organic,O1,NA
20210807-W-M2_O2,20210807-W-M2,7-Aug-21,non-acidic tundra,Mesic,2,W-M2,O2,9.5,10.5,9,8,9.3,18.8,0.18,0.5058,organic,O2,yes
20210807-W-M2_M,20210807-W-M2,7-Aug-21,non-acidic tundra,Mesic,2,W-M2,M,3.5,3,3,3.5,3.3,22.1,0.84,0.5124,mineral,M,NA
20210807-W-M3_O1,20210807-W-M3,7-Aug-21,non-acidic tundra,Mesic,3,W-M3,O1,9.5,10,9,8.5,9.3,9.3,NA,NA,organic,O1,NA
20210807-W-M3_O2,20210807-W-M3,7-Aug-21,non-acidic tundra,Mesic,3,W-M3,O2,10,10.5,11,10,10.4,19.7,NA,NA,organic,O2,NA
20210807-W-H1_O1,20210807-W-H1,7-Aug-21,non-acidic tundra,Hydric,1,W-H1,O1,8.5,8.5,9,8.5,8.6,8.6,0.15,0.4905,organic,O1,yes
20210807-W-H1_O2,20210807-W-H1,7-Aug-21,non-acidic tundra,Hydric,1,W-H1,O2,8.5,9.5,7,8,8.3,16.9,NA,NA,organic,O2,NA
20210807-W-H2_O1,20210807-W-H2,7-Aug-21,non-acidic tundra,Hydric,2,W-H2,O1,9.5,10.5,12,12.5,11.1,11.1,0.18,0.4428,organic,O1,yes
20210807-W-H2_O2,20210807-W-H2,7-Aug-21,non-acidic tundra,Hydric,2,W-H2,O2,8,9.5,9,9,8.9,20,0.15,0.5565,organic,O2,yes
20210807-W-H3_O1,20210807-W-H3,7-Aug-21,non-acidic tundra,Hydric,3,W-H3,O1,9,10,10,10,9.8,9.8,NA,NA,organic,O1,NA
20210807-W-H3_O2,20210807-W-H3,7-Aug-21,non-acidic tundra,Hydric,3,W-H3,O2,8,8,8.5,8.5,8.3,18.1,NA,NA,organic,O2,NA
